name,grade,parent_email,parent_cell
Kyla Leavey,8,kleavey0@ted.com,442-998-3823
Coletta Crady,1,ccrady1@amazon.de,338-470-3191
Egor Tolemache,7,etolemache2@narod.ru,382-594-2285
Cad Dwire,1,cdwire3@moonfruit.com,684-444-7733
Leanora Loghan,10,lloghan4@archive.org,641-669-5634
Cindi Jemison,4,cjemison5@utexas.edu,715-875-7460
Findley Gegg,7,fgegg6@google.ru,604-584-6408
Brit Rabbet,9,brabbet7@posterous.com,183-538-5485
Sile MacFayden,6,smacfayden8@census.gov,663-621-4107
Jessie McCarty,6,jmccarty9@chicagotribune.com,895-916-5821
Pernell Gantley,5,pgantleya@ibm.com,992-866-4089
Stillmann Erridge,1,serridgeb@desdev.cn,804-489-8938
Odelle Millican,7,omillicanc@weather.com,976-512-0426
Miof mela Elloit,2,mmelad@google.ru,939-433-4713
Bennett Kerrod,5,bkerrode@pinterest.com,210-190-0984
Phil Nagle,1,pnaglef@wikimedia.org,201-813-9329
Bradford Otto,10,bottog@zimbio.com,861-577-7101
Milli Shwalbe,9,mshwalbeh@deviantart.com,246-579-0720
Noe Ashbolt,2,nashbolti@marriott.com,236-845-9152
Florette Boumphrey,7,fboumphreyj@harvard.edu,587-904-9970
Kris Bettison,3,kbettisonk@paginegialle.it,546-573-7812
Carrie Charrier,1,ccharrierl@china.com.cn,284-235-2682
Otha Ziemens,5,oziemensm@google.com.hk,382-919-8200
Windy Van den Velden,7,wvann@4shared.com,624-412-4463
Delbert Darrell,4,ddarrello@behance.net,866-589-4030
Dorothy Loosely,5,dlooselyp@prweb.com,639-220-1013
Antin Whacket,7,awhacketq@adobe.com,453-815-0585
Sydel Aime,2,saimer@state.gov,335-154-8344
Dona Megahey,3,dmegaheys@cnn.com,563-908-0358
Rowland Weitzel,7,rweitzelt@youtube.com,347-323-1271
Tirrell Dorgan,9,tdorganu@vistaprint.com,346-658-6361
Mickie Messager,2,mmessagerv@dot.gov,406-570-9005
